plan,swing,baseline,dem,rep
2012,-2.099999999999998,GOV,39,60
2022,-2.099999999999998,GOV,38,61
Evers least change,-2.099999999999998,GOV,43,56
People's Map Commission,-2.099999999999998,GOV,49,50
2012,-2,GOV,39,60
2022,-2,GOV,38,61
Evers least change,-2,GOV,43,56
People's Map Commission,-2,GOV,49,50
2012,-1.8999999999999986,GOV,39,60
2022,-1.8999999999999986,GOV,38,61
Evers least change,-1.8999999999999986,GOV,43,56
People's Map Commission,-1.8999999999999986,GOV,49,50
2012,-1.8000000000000007,GOV,39,60
2022,-1.8000000000000007,GOV,38,61
Evers least change,-1.8000000000000007,GOV,43,56
People's Map Commission,-1.8000000000000007,GOV,49,50
2012,-1.6999999999999993,GOV,39,60
2022,-1.6999999999999993,GOV,38,61
Evers least change,-1.6999999999999993,GOV,43,56
People's Map Commission,-1.6999999999999993,GOV,49,50
2012,-1.5999999999999979,GOV,39,60
2022,-1.5999999999999979,GOV,38,61
Evers least change,-1.5999999999999979,GOV,43,56
People's Map Commission,-1.5999999999999979,GOV,49,50
2012,-1.5,GOV,39,60
2022,-1.5,GOV,38,61
Evers least change,-1.5,GOV,43,56
People's Map Commission,-1.5,GOV,49,50
2012,-1.3999999999999986,GOV,40,59
2022,-1.3999999999999986,GOV,38,61
Evers least change,-1.3999999999999986,GOV,43,56
People's Map Commission,-1.3999999999999986,GOV,49,50
2012,-1.3000000000000007,GOV,41,58
2022,-1.3000000000000007,GOV,38,61
Evers least change,-1.3000000000000007,GOV,43,56
People's Map Commission,-1.3000000000000007,GOV,49,50
2012,-1.1999999999999993,GOV,41,58
2022,-1.1999999999999993,GOV,38,61
Evers least change,-1.1999999999999993,GOV,44,55
People's Map Commission,-1.1999999999999993,GOV,49,50
2012,-1.0999999999999979,GOV,43,56
2022,-1.0999999999999979,GOV,38,61
Evers least change,-1.0999999999999979,GOV,45,54
People's Map Commission,-1.0999999999999979,GOV,49,50
2012,-1,GOV,43,56
2022,-1,GOV,38,61
Evers least change,-1,GOV,45,54
People's Map Commission,-1,GOV,49,50
2012,-0.8999999999999986,GOV,43,56
2022,-0.8999999999999986,GOV,39,60
Evers least change,-0.8999999999999986,GOV,45,54
People's Map Commission,-0.8999999999999986,GOV,49,50
2012,-0.7999999999999972,GOV,43,56
2022,-0.7999999999999972,GOV,39,60
Evers least change,-0.7999999999999972,GOV,45,54
People's Map Commission,-0.7999999999999972,GOV,49,50
2012,-0.6999999999999993,GOV,44,55
2022,-0.6999999999999993,GOV,39,60
Evers least change,-0.6999999999999993,GOV,45,54
People's Map Commission,-0.6999999999999993,GOV,49,50
2012,-0.5999999999999979,GOV,44,55
2022,-0.5999999999999979,GOV,39,60
Evers least change,-0.5999999999999979,GOV,45,54
People's Map Commission,-0.5999999999999979,GOV,49,50
2012,-0.5,GOV,44,55
2022,-0.5,GOV,39,60
Evers least change,-0.5,GOV,45,54
People's Map Commission,-0.5,GOV,49,50
2012,-0.3999999999999986,GOV,44,55
2022,-0.3999999999999986,GOV,39,60
Evers least change,-0.3999999999999986,GOV,45,54
People's Map Commission,-0.3999999999999986,GOV,49,50
2012,-0.29999999999999716,GOV,45,54
2022,-0.29999999999999716,GOV,39,60
Evers least change,-0.29999999999999716,GOV,46,53
People's Map Commission,-0.29999999999999716,GOV,49,50
2012,-0.1999999999999993,GOV,45,54
2022,-0.1999999999999993,GOV,39,60
Evers least change,-0.1999999999999993,GOV,46,53
People's Map Commission,-0.1999999999999993,GOV,50,49
2012,-0.09999999999999787,GOV,45,54
2022,-0.09999999999999787,GOV,39,60
Evers least change,-0.09999999999999787,GOV,46,53
People's Map Commission,-0.09999999999999787,GOV,52,47
2012,0,GOV,45,54
2022,0,GOV,39,60
Evers least change,0,GOV,47,52
People's Map Commission,0,GOV,53,46
2012,0.10000000000000142,GOV,45,54
2022,0.10000000000000142,GOV,39,60
Evers least change,0.10000000000000142,GOV,47,52
People's Map Commission,0.10000000000000142,GOV,53,46
2012,0.20000000000000284,GOV,45,54
2022,0.20000000000000284,GOV,40,59
Evers least change,0.20000000000000284,GOV,47,52
People's Map Commission,0.20000000000000284,GOV,53,46
2012,0.3000000000000007,GOV,45,54
2022,0.3000000000000007,GOV,40,59
Evers least change,0.3000000000000007,GOV,47,52
People's Map Commission,0.3000000000000007,GOV,53,46
2012,0.40000000000000213,GOV,45,54
2022,0.40000000000000213,GOV,41,58
Evers least change,0.40000000000000213,GOV,47,52
People's Map Commission,0.40000000000000213,GOV,53,46
2012,0.5,GOV,45,54
2022,0.5,GOV,41,58
Evers least change,0.5,GOV,48,51
People's Map Commission,0.5,GOV,53,46
2012,0.6000000000000014,GOV,45,54
2022,0.6000000000000014,GOV,41,58
Evers least change,0.6000000000000014,GOV,48,51
People's Map Commission,0.6000000000000014,GOV,53,46
2012,0.7000000000000028,GOV,45,54
2022,0.7000000000000028,GOV,41,58
Evers least change,0.7000000000000028,GOV,48,51
People's Map Commission,0.7000000000000028,GOV,53,46
2012,0.8000000000000007,GOV,45,54
2022,0.8000000000000007,GOV,42,57
Evers least change,0.8000000000000007,GOV,48,51
People's Map Commission,0.8000000000000007,GOV,53,46
2012,0.9000000000000021,GOV,46,53
2022,0.9000000000000021,GOV,42,57
Evers least change,0.9000000000000021,GOV,48,51
People's Map Commission,0.9000000000000021,GOV,53,46
2012,1,GOV,46,53
2022,1,GOV,42,57
Evers least change,1,GOV,49,50
People's Map Commission,1,GOV,53,46
2012,1.1000000000000014,GOV,46,53
2022,1.1000000000000014,GOV,42,57
Evers least change,1.1000000000000014,GOV,49,50
People's Map Commission,1.1000000000000014,GOV,53,46
2012,1.2000000000000028,GOV,46,53
2022,1.2000000000000028,GOV,42,57
Evers least change,1.2000000000000028,GOV,49,50
People's Map Commission,1.2000000000000028,GOV,53,46
2012,1.3000000000000007,GOV,46,53
2022,1.3000000000000007,GOV,42,57
Evers least change,1.3000000000000007,GOV,49,50
People's Map Commission,1.3000000000000007,GOV,53,46
2012,1.4000000000000021,GOV,46,53
2022,1.4000000000000021,GOV,42,57
Evers least change,1.4000000000000021,GOV,49,50
People's Map Commission,1.4000000000000021,GOV,53,46
2012,1.5,GOV,46,53
2022,1.5,GOV,42,57
Evers least change,1.5,GOV,49,50
People's Map Commission,1.5,GOV,54,45
2012,1.6000000000000014,GOV,46,53
2022,1.6000000000000014,GOV,42,57
Evers least change,1.6000000000000014,GOV,50,49
People's Map Commission,1.6000000000000014,GOV,54,45
2012,1.7000000000000028,GOV,47,52
2022,1.7000000000000028,GOV,42,57
Evers least change,1.7000000000000028,GOV,50,49
People's Map Commission,1.7000000000000028,GOV,54,45
2012,1.8000000000000007,GOV,47,52
2022,1.8000000000000007,GOV,42,57
Evers least change,1.8000000000000007,GOV,50,49
People's Map Commission,1.8000000000000007,GOV,54,45
2012,1.9000000000000021,GOV,47,52
2022,1.9000000000000021,GOV,42,57
Evers least change,1.9000000000000021,GOV,50,49
People's Map Commission,1.9000000000000021,GOV,54,45
2012,2,GOV,47,52
2022,2,GOV,42,57
Evers least change,2,GOV,50,49
People's Map Commission,2,GOV,54,45
2012,2.1000000000000014,GOV,47,52
2022,2.1000000000000014,GOV,42,57
Evers least change,2.1000000000000014,GOV,50,49
People's Map Commission,2.1000000000000014,GOV,54,45
2012,2.200000000000003,GOV,47,52
2022,2.200000000000003,GOV,42,57
Evers least change,2.200000000000003,GOV,50,49
People's Map Commission,2.200000000000003,GOV,54,45
2012,2.3000000000000007,GOV,47,52
2022,2.3000000000000007,GOV,42,57
Evers least change,2.3000000000000007,GOV,50,49
People's Map Commission,2.3000000000000007,GOV,54,45
2012,2.400000000000002,GOV,47,52
2022,2.400000000000002,GOV,42,57
Evers least change,2.400000000000002,GOV,50,49
People's Map Commission,2.400000000000002,GOV,54,45
2012,2.5,GOV,47,52
2022,2.5,GOV,42,57
Evers least change,2.5,GOV,50,49
People's Map Commission,2.5,GOV,54,45
2012,2.6000000000000014,GOV,47,52
2022,2.6000000000000014,GOV,42,57
Evers least change,2.6000000000000014,GOV,50,49
People's Map Commission,2.6000000000000014,GOV,54,45
2012,2.700000000000003,GOV,48,51
2022,2.700000000000003,GOV,42,57
Evers least change,2.700000000000003,GOV,50,49
People's Map Commission,2.700000000000003,GOV,55,44
2012,2.8000000000000007,GOV,48,51
2022,2.8000000000000007,GOV,42,57
Evers least change,2.8000000000000007,GOV,50,49
People's Map Commission,2.8000000000000007,GOV,55,44
2012,2.900000000000002,GOV,48,51
2022,2.900000000000002,GOV,42,57
Evers least change,2.900000000000002,GOV,50,49
People's Map Commission,2.900000000000002,GOV,55,44
2012,3,GOV,48,51
2022,3,GOV,42,57
Evers least change,3,GOV,51,48
People's Map Commission,3,GOV,55,44
2012,3.1000000000000014,GOV,48,51
2022,3.1000000000000014,GOV,42,57
Evers least change,3.1000000000000014,GOV,51,48
People's Map Commission,3.1000000000000014,GOV,55,44
2012,3.200000000000003,GOV,48,51
2022,3.200000000000003,GOV,42,57
Evers least change,3.200000000000003,GOV,51,48
People's Map Commission,3.200000000000003,GOV,55,44
2012,3.3000000000000007,GOV,48,51
2022,3.3000000000000007,GOV,43,56
Evers least change,3.3000000000000007,GOV,51,48
People's Map Commission,3.3000000000000007,GOV,55,44
2012,3.400000000000002,GOV,48,51
2022,3.400000000000002,GOV,43,56
Evers least change,3.400000000000002,GOV,51,48
People's Map Commission,3.400000000000002,GOV,55,44
2012,3.5,GOV,48,51
2022,3.5,GOV,43,56
Evers least change,3.5,GOV,51,48
People's Map Commission,3.5,GOV,55,44
2012,3.6000000000000014,GOV,48,51
2022,3.6000000000000014,GOV,43,56
Evers least change,3.6000000000000014,GOV,51,48
People's Map Commission,3.6000000000000014,GOV,55,44
2012,3.700000000000003,GOV,48,51
2022,3.700000000000003,GOV,44,55
Evers least change,3.700000000000003,GOV,51,48
People's Map Commission,3.700000000000003,GOV,55,44
2012,3.8000000000000007,GOV,48,51
2022,3.8000000000000007,GOV,44,55
Evers least change,3.8000000000000007,GOV,51,48
People's Map Commission,3.8000000000000007,GOV,55,44
2012,3.900000000000002,GOV,48,51
2022,3.900000000000002,GOV,44,55
Evers least change,3.900000000000002,GOV,51,48
People's Map Commission,3.900000000000002,GOV,55,44
2012,4,GOV,48,51
2022,4,GOV,44,55
Evers least change,4,GOV,51,48
People's Map Commission,4,GOV,55,44
2012,4.100000000000001,GOV,48,51
2022,4.100000000000001,GOV,44,55
Evers least change,4.100000000000001,GOV,51,48
People's Map Commission,4.100000000000001,GOV,55,44
2012,4.200000000000003,GOV,48,51
2022,4.200000000000003,GOV,44,55
Evers least change,4.200000000000003,GOV,51,48
People's Map Commission,4.200000000000003,GOV,55,44
2012,4.300000000000001,GOV,48,51
2022,4.300000000000001,GOV,44,55
Evers least change,4.300000000000001,GOV,51,48
People's Map Commission,4.300000000000001,GOV,55,44
2012,4.400000000000002,GOV,48,51
2022,4.400000000000002,GOV,44,55
Evers least change,4.400000000000002,GOV,51,48
People's Map Commission,4.400000000000002,GOV,55,44
2012,4.5,GOV,48,51
2022,4.5,GOV,44,55
Evers least change,4.5,GOV,51,48
People's Map Commission,4.5,GOV,55,44
2012,4.600000000000001,GOV,49,50
2022,4.600000000000001,GOV,44,55
Evers least change,4.600000000000001,GOV,51,48
People's Map Commission,4.600000000000001,GOV,55,44
2012,4.700000000000003,GOV,49,50
2022,4.700000000000003,GOV,44,55
Evers least change,4.700000000000003,GOV,51,48
People's Map Commission,4.700000000000003,GOV,55,44
2012,4.800000000000001,GOV,49,50
2022,4.800000000000001,GOV,44,55
Evers least change,4.800000000000001,GOV,51,48
People's Map Commission,4.800000000000001,GOV,55,44
2012,4.900000000000002,GOV,49,50
2022,4.900000000000002,GOV,44,55
Evers least change,4.900000000000002,GOV,51,48
People's Map Commission,4.900000000000002,GOV,55,44
2012,5,GOV,50,49
2022,5,GOV,44,55
Evers least change,5,GOV,51,48
People's Map Commission,5,GOV,55,44
2012,5.100000000000001,GOV,50,49
2022,5.100000000000001,GOV,44,55
Evers least change,5.100000000000001,GOV,51,48
People's Map Commission,5.100000000000001,GOV,55,44
2012,5.200000000000003,GOV,50,49
2022,5.200000000000003,GOV,44,55
Evers least change,5.200000000000003,GOV,51,48
People's Map Commission,5.200000000000003,GOV,56,43
2012,5.300000000000001,GOV,50,49
2022,5.300000000000001,GOV,45,54
Evers least change,5.300000000000001,GOV,51,48
People's Map Commission,5.300000000000001,GOV,56,43
2012,5.400000000000002,GOV,50,49
2022,5.400000000000002,GOV,45,54
Evers least change,5.400000000000002,GOV,51,48
People's Map Commission,5.400000000000002,GOV,56,43
2012,5.5,GOV,50,49
2022,5.5,GOV,45,54
Evers least change,5.5,GOV,51,48
People's Map Commission,5.5,GOV,56,43
2012,5.600000000000001,GOV,50,49
2022,5.600000000000001,GOV,45,54
Evers least change,5.600000000000001,GOV,51,48
People's Map Commission,5.600000000000001,GOV,56,43
2012,5.700000000000003,GOV,50,49
2022,5.700000000000003,GOV,45,54
Evers least change,5.700000000000003,GOV,51,48
People's Map Commission,5.700000000000003,GOV,56,43
2012,5.800000000000001,GOV,50,49
2022,5.800000000000001,GOV,45,54
Evers least change,5.800000000000001,GOV,51,48
People's Map Commission,5.800000000000001,GOV,56,43
2012,5.900000000000002,GOV,50,49
2022,5.900000000000002,GOV,45,54
Evers least change,5.900000000000002,GOV,51,48
People's Map Commission,5.900000000000002,GOV,56,43
2012,6,GOV,50,49
2022,6,GOV,45,54
Evers least change,6,GOV,51,48
People's Map Commission,6,GOV,56,43
2012,6.100000000000001,GOV,50,49
2022,6.100000000000001,GOV,46,53
Evers least change,6.100000000000001,GOV,51,48
People's Map Commission,6.100000000000001,GOV,56,43
2012,6.200000000000003,GOV,50,49
2022,6.200000000000003,GOV,46,53
Evers least change,6.200000000000003,GOV,51,48
People's Map Commission,6.200000000000003,GOV,56,43
2012,6.300000000000001,GOV,50,49
2022,6.300000000000001,GOV,46,53
Evers least change,6.300000000000001,GOV,51,48
People's Map Commission,6.300000000000001,GOV,56,43
2012,6.400000000000002,GOV,50,49
2022,6.400000000000002,GOV,47,52
Evers least change,6.400000000000002,GOV,51,48
People's Map Commission,6.400000000000002,GOV,56,43
2012,6.5,GOV,50,49
2022,6.5,GOV,48,51
Evers least change,6.5,GOV,51,48
People's Map Commission,6.5,GOV,56,43
2012,6.600000000000001,GOV,50,49
2022,6.600000000000001,GOV,49,50
Evers least change,6.600000000000001,GOV,51,48
People's Map Commission,6.600000000000001,GOV,56,43
2012,6.700000000000003,GOV,50,49
2022,6.700000000000003,GOV,49,50
Evers least change,6.700000000000003,GOV,51,48
People's Map Commission,6.700000000000003,GOV,56,43
2012,6.800000000000001,GOV,50,49
2022,6.800000000000001,GOV,49,50
Evers least change,6.800000000000001,GOV,51,48
People's Map Commission,6.800000000000001,GOV,56,43
2012,6.900000000000002,GOV,51,48
2022,6.900000000000002,GOV,49,50
Evers least change,6.900000000000002,GOV,52,47
People's Map Commission,6.900000000000002,GOV,56,43
2012,7,GOV,51,48
2022,7,GOV,49,50
Evers least change,7,GOV,52,47
People's Map Commission,7,GOV,56,43
2012,7.100000000000001,GOV,51,48
2022,7.100000000000001,GOV,49,50
Evers least change,7.100000000000001,GOV,52,47
People's Map Commission,7.100000000000001,GOV,56,43
2012,7.200000000000003,GOV,51,48
2022,7.200000000000003,GOV,49,50
Evers least change,7.200000000000003,GOV,52,47
People's Map Commission,7.200000000000003,GOV,56,43
2012,7.300000000000001,GOV,52,47
2022,7.300000000000001,GOV,49,50
Evers least change,7.300000000000001,GOV,52,47
People's Map Commission,7.300000000000001,GOV,56,43
2012,7.400000000000002,GOV,52,47
2022,7.400000000000002,GOV,49,50
Evers least change,7.400000000000002,GOV,52,47
People's Map Commission,7.400000000000002,GOV,56,43
2012,7.5,GOV,52,47
2022,7.5,GOV,49,50
Evers least change,7.5,GOV,52,47
People's Map Commission,7.5,GOV,56,43
2012,7.600000000000001,GOV,52,47
2022,7.600000000000001,GOV,49,50
Evers least change,7.600000000000001,GOV,52,47
People's Map Commission,7.600000000000001,GOV,57,42
2012,7.700000000000003,GOV,52,47
2022,7.700000000000003,GOV,49,50
Evers least change,7.700000000000003,GOV,52,47
People's Map Commission,7.700000000000003,GOV,58,41
2012,7.800000000000001,GOV,52,47
2022,7.800000000000001,GOV,49,50
Evers least change,7.800000000000001,GOV,52,47
People's Map Commission,7.800000000000001,GOV,58,41
2012,7.900000000000002,GOV,53,46
2022,7.900000000000002,GOV,49,50
Evers least change,7.900000000000002,GOV,52,47
People's Map Commission,7.900000000000002,GOV,58,41
2012,8,GOV,53,46
2022,8,GOV,49,50
Evers least change,8,GOV,54,45
People's Map Commission,8,GOV,58,41
2012,8.100000000000001,GOV,53,46
2022,8.100000000000001,GOV,49,50
Evers least change,8.100000000000001,GOV,54,45
People's Map Commission,8.100000000000001,GOV,58,41
2012,8.200000000000003,GOV,53,46
2022,8.200000000000003,GOV,49,50
Evers least change,8.200000000000003,GOV,54,45
People's Map Commission,8.200000000000003,GOV,58,41
2012,8.3,GOV,53,46
2022,8.3,GOV,49,50
Evers least change,8.3,GOV,54,45
People's Map Commission,8.3,GOV,58,41
2012,8.400000000000002,GOV,53,46
2022,8.400000000000002,GOV,49,50
Evers least change,8.400000000000002,GOV,55,44
People's Map Commission,8.400000000000002,GOV,58,41
2012,8.5,GOV,53,46
2022,8.5,GOV,49,50
Evers least change,8.5,GOV,55,44
People's Map Commission,8.5,GOV,58,41
2012,8.600000000000001,GOV,53,46
2022,8.600000000000001,GOV,49,50
Evers least change,8.600000000000001,GOV,55,44
People's Map Commission,8.600000000000001,GOV,58,41
2012,8.700000000000003,GOV,53,46
2022,8.700000000000003,GOV,49,50
Evers least change,8.700000000000003,GOV,55,44
People's Map Commission,8.700000000000003,GOV,58,41
2012,8.8,GOV,53,46
2022,8.8,GOV,49,50
Evers least change,8.8,GOV,55,44
People's Map Commission,8.8,GOV,58,41
2012,8.900000000000002,GOV,53,46
2022,8.900000000000002,GOV,50,49
Evers least change,8.900000000000002,GOV,55,44
People's Map Commission,8.900000000000002,GOV,58,41
2012,9,GOV,53,46
2022,9,GOV,50,49
Evers least change,9,GOV,55,44
People's Map Commission,9,GOV,58,41
2012,9.100000000000001,GOV,53,46
2022,9.100000000000001,GOV,50,49
Evers least change,9.100000000000001,GOV,56,43
People's Map Commission,9.100000000000001,GOV,58,41
2012,9.200000000000003,GOV,53,46
2022,9.200000000000003,GOV,50,49
Evers least change,9.200000000000003,GOV,56,43
People's Map Commission,9.200000000000003,GOV,58,41
2012,9.3,GOV,53,46
2022,9.3,GOV,50,49
Evers least change,9.3,GOV,56,43
People's Map Commission,9.3,GOV,58,41
2012,9.400000000000002,GOV,53,46
2022,9.400000000000002,GOV,51,48
Evers least change,9.400000000000002,GOV,56,43
People's Map Commission,9.400000000000002,GOV,58,41
2012,9.5,GOV,53,46
2022,9.5,GOV,51,48
Evers least change,9.5,GOV,56,43
People's Map Commission,9.5,GOV,59,40
2012,9.600000000000001,GOV,53,46
2022,9.600000000000001,GOV,51,48
Evers least change,9.600000000000001,GOV,56,43
People's Map Commission,9.600000000000001,GOV,59,40
2012,9.700000000000003,GOV,53,46
2022,9.700000000000003,GOV,51,48
Evers least change,9.700000000000003,GOV,56,43
People's Map Commission,9.700000000000003,GOV,59,40
2012,9.8,GOV,53,46
2022,9.8,GOV,52,47
Evers least change,9.8,GOV,56,43
People's Map Commission,9.8,GOV,59,40
2012,9.900000000000002,GOV,54,45
2022,9.900000000000002,GOV,52,47
Evers least change,9.900000000000002,GOV,56,43
People's Map Commission,9.900000000000002,GOV,59,40
2012,10,GOV,55,44
2022,10,GOV,52,47
Evers least change,10,GOV,56,43
People's Map Commission,10,GOV,59,40
2012,10.100000000000001,GOV,55,44
2022,10.100000000000001,GOV,54,45
Evers least change,10.100000000000001,GOV,56,43
People's Map Commission,10.100000000000001,GOV,59,40
2012,10.200000000000003,GOV,55,44
2022,10.200000000000003,GOV,55,44
Evers least change,10.200000000000003,GOV,56,43
People's Map Commission,10.200000000000003,GOV,59,40
2012,10.3,GOV,55,44
2022,10.3,GOV,55,44
Evers least change,10.3,GOV,56,43
People's Map Commission,10.3,GOV,59,40
2012,10.400000000000002,GOV,56,43
2022,10.400000000000002,GOV,56,43
Evers least change,10.400000000000002,GOV,56,43
People's Map Commission,10.400000000000002,GOV,59,40
2012,10.5,GOV,56,43
2022,10.5,GOV,56,43
Evers least change,10.5,GOV,56,43
People's Map Commission,10.5,GOV,59,40
2012,10.600000000000001,GOV,56,43
2022,10.600000000000001,GOV,56,43
Evers least change,10.600000000000001,GOV,56,43
People's Map Commission,10.600000000000001,GOV,59,40
2012,10.700000000000003,GOV,56,43
2022,10.700000000000003,GOV,57,42
Evers least change,10.700000000000003,GOV,56,43
People's Map Commission,10.700000000000003,GOV,59,40
2012,10.8,GOV,56,43
2022,10.8,GOV,57,42
Evers least change,10.8,GOV,56,43
People's Map Commission,10.8,GOV,59,40
2012,10.900000000000002,GOV,57,42
2022,10.900000000000002,GOV,57,42
Evers least change,10.900000000000002,GOV,58,41
People's Map Commission,10.900000000000002,GOV,60,39
2012,11,GOV,57,42
2022,11,GOV,57,42
Evers least change,11,GOV,58,41
People's Map Commission,11,GOV,60,39
2012,11.100000000000001,GOV,59,40
2022,11.100000000000001,GOV,57,42
Evers least change,11.100000000000001,GOV,58,41
People's Map Commission,11.100000000000001,GOV,60,39
2012,11.200000000000003,GOV,59,40
2022,11.200000000000003,GOV,57,42
Evers least change,11.200000000000003,GOV,58,41
People's Map Commission,11.200000000000003,GOV,60,39
2012,11.3,GOV,59,40
2022,11.3,GOV,57,42
Evers least change,11.3,GOV,58,41
People's Map Commission,11.3,GOV,60,39
2012,11.400000000000002,GOV,60,39
2022,11.400000000000002,GOV,57,42
Evers least change,11.400000000000002,GOV,58,41
People's Map Commission,11.400000000000002,GOV,60,39
2012,11.5,GOV,60,39
2022,11.5,GOV,57,42
Evers least change,11.5,GOV,58,41
People's Map Commission,11.5,GOV,60,39
2012,11.600000000000001,GOV,60,39
2022,11.600000000000001,GOV,57,42
Evers least change,11.600000000000001,GOV,58,41
People's Map Commission,11.600000000000001,GOV,60,39
2012,11.700000000000003,GOV,60,39
2022,11.700000000000003,GOV,57,42
Evers least change,11.700000000000003,GOV,58,41
People's Map Commission,11.700000000000003,GOV,60,39
2012,11.8,GOV,60,39
2022,11.8,GOV,57,42
Evers least change,11.8,GOV,58,41
People's Map Commission,11.8,GOV,60,39
2012,11.900000000000002,GOV,60,39
2022,11.900000000000002,GOV,57,42
Evers least change,11.900000000000002,GOV,59,40
People's Map Commission,11.900000000000002,GOV,60,39
2012,12,GOV,60,39
2022,12,GOV,57,42
Evers least change,12,GOV,59,40
People's Map Commission,12,GOV,61,38
2012,12.100000000000001,GOV,60,39
2022,12.100000000000001,GOV,58,41
Evers least change,12.100000000000001,GOV,59,40
People's Map Commission,12.100000000000001,GOV,61,38
2012,12.200000000000003,GOV,60,39
2022,12.200000000000003,GOV,58,41
Evers least change,12.200000000000003,GOV,59,40
People's Map Commission,12.200000000000003,GOV,61,38
2012,12.300000000000004,GOV,60,39
2022,12.300000000000004,GOV,58,41
Evers least change,12.300000000000004,GOV,59,40
People's Map Commission,12.300000000000004,GOV,61,38
2012,12.399999999999999,GOV,60,39
2022,12.399999999999999,GOV,58,41
Evers least change,12.399999999999999,GOV,59,40
People's Map Commission,12.399999999999999,GOV,61,38
2012,12.5,GOV,60,39
2022,12.5,GOV,58,41
Evers least change,12.5,GOV,59,40
People's Map Commission,12.5,GOV,61,38
2012,12.600000000000001,GOV,60,39
2022,12.600000000000001,GOV,58,41
Evers least change,12.600000000000001,GOV,59,40
People's Map Commission,12.600000000000001,GOV,61,38
2012,12.700000000000003,GOV,60,39
2022,12.700000000000003,GOV,59,40
Evers least change,12.700000000000003,GOV,59,40
People's Map Commission,12.700000000000003,GOV,61,38
2012,12.800000000000004,GOV,61,38
2022,12.800000000000004,GOV,60,39
Evers least change,12.800000000000004,GOV,59,40
People's Map Commission,12.800000000000004,GOV,61,38
2012,12.899999999999999,GOV,62,37
2022,12.899999999999999,GOV,60,39
Evers least change,12.899999999999999,GOV,60,39
People's Map Commission,12.899999999999999,GOV,61,38
2012,13,GOV,62,37
2022,13,GOV,60,39
Evers least change,13,GOV,60,39
People's Map Commission,13,GOV,61,38
2012,13.100000000000001,GOV,62,37
2022,13.100000000000001,GOV,60,39
Evers least change,13.100000000000001,GOV,60,39
People's Map Commission,13.100000000000001,GOV,61,38
2012,13.200000000000003,GOV,63,36
2022,13.200000000000003,GOV,61,38
Evers least change,13.200000000000003,GOV,61,38
People's Map Commission,13.200000000000003,GOV,62,37
2012,13.300000000000004,GOV,63,36
2022,13.300000000000004,GOV,61,38
Evers least change,13.300000000000004,GOV,61,38
People's Map Commission,13.300000000000004,GOV,62,37
2012,13.399999999999999,GOV,64,35
2022,13.399999999999999,GOV,61,38
Evers least change,13.399999999999999,GOV,61,38
People's Map Commission,13.399999999999999,GOV,62,37
2012,13.5,GOV,64,35
2022,13.5,GOV,61,38
Evers least change,13.5,GOV,62,37
People's Map Commission,13.5,GOV,62,37
2012,13.600000000000001,GOV,64,35
2022,13.600000000000001,GOV,62,37
Evers least change,13.600000000000001,GOV,63,36
People's Map Commission,13.600000000000001,GOV,62,37
2012,13.700000000000003,GOV,64,35
2022,13.700000000000003,GOV,62,37
Evers least change,13.700000000000003,GOV,63,36
People's Map Commission,13.700000000000003,GOV,62,37
2012,13.800000000000004,GOV,64,35
2022,13.800000000000004,GOV,64,35
Evers least change,13.800000000000004,GOV,63,36
People's Map Commission,13.800000000000004,GOV,62,37
2012,13.899999999999999,GOV,64,35
2022,13.899999999999999,GOV,64,35
Evers least change,13.899999999999999,GOV,63,36
People's Map Commission,13.899999999999999,GOV,62,37
2012,14,GOV,65,34
2022,14,GOV,64,35
Evers least change,14,GOV,63,36
People's Map Commission,14,GOV,62,37
2012,14.100000000000001,GOV,65,34
2022,14.100000000000001,GOV,64,35
Evers least change,14.100000000000001,GOV,63,36
People's Map Commission,14.100000000000001,GOV,62,37
2012,14.200000000000003,GOV,65,34
2022,14.200000000000003,GOV,65,34
Evers least change,14.200000000000003,GOV,63,36
People's Map Commission,14.200000000000003,GOV,62,37
2012,14.300000000000004,GOV,66,33
2022,14.300000000000004,GOV,65,34
Evers least change,14.300000000000004,GOV,63,36
People's Map Commission,14.300000000000004,GOV,62,37
2012,14.399999999999999,GOV,66,33
2022,14.399999999999999,GOV,65,34
Evers least change,14.399999999999999,GOV,63,36
People's Map Commission,14.399999999999999,GOV,62,37
2012,14.5,GOV,66,33
2022,14.5,GOV,65,34
Evers least change,14.5,GOV,63,36
People's Map Commission,14.5,GOV,62,37
2012,14.600000000000001,GOV,66,33
2022,14.600000000000001,GOV,65,34
Evers least change,14.600000000000001,GOV,63,36
People's Map Commission,14.600000000000001,GOV,63,36
2012,14.700000000000003,GOV,66,33
2022,14.700000000000003,GOV,66,33
Evers least change,14.700000000000003,GOV,63,36
People's Map Commission,14.700000000000003,GOV,63,36
2012,14.800000000000004,GOV,66,33
2022,14.800000000000004,GOV,66,33
Evers least change,14.800000000000004,GOV,63,36
People's Map Commission,14.800000000000004,GOV,63,36
2012,14.899999999999999,GOV,66,33
2022,14.899999999999999,GOV,68,31
Evers least change,14.899999999999999,GOV,63,36
People's Map Commission,14.899999999999999,GOV,63,36
2012,15,GOV,66,33
2022,15,GOV,69,30
Evers least change,15,GOV,63,36
People's Map Commission,15,GOV,63,36
2012,15.100000000000001,GOV,66,33
2022,15.100000000000001,GOV,69,30
Evers least change,15.100000000000001,GOV,63,36
People's Map Commission,15.100000000000001,GOV,63,36
2012,15.200000000000003,GOV,66,33
2022,15.200000000000003,GOV,69,30
